from,to,weight
Alex,Chris,11
Alex,David,10
Alex,Sarah,12
Amanda,Bryan,9
Amanda,David,15
Amanda,Elizabeth,10
Amanda,Jennifer,9
Amy,Jessica,9
Andrew,Debbie,9
Andrew,Jennifer,9
Ashley,Alex,10
Ashley,Chris,10
Ashley,James,9
Ashley,Jennifer,13
Ashley,Liz,10
Ashley,Michael,10
Ashley,Mike,11
Ashley,Rachel,12
Ashley,Sarah,10
Ashley,Susan,9
Brenda,Amanda,10
Chris,David,15
Chris,KC,9
Christina,David,10
Daniel,David,11
Danielle,Jessica,9
Danielle,Mike,12
Dave,David,10
Dave,John,12
Dave,Patrick,10
Dee,Elizabeth,9
Dee,Rachel,10
Emily,David,10
Emily,Heather,9
Emily,Jennifer,10
Erin,Susan,9
JC,Chris,9
JC,John,9
JP,Rachel,9
Jackie,KC,9
James,David,13
James,Steve,9
Jay,Mike,11
Jen,Jennifer,12
Jennifer,Cindy,11
Jennifer,Heather,9
Jennifer,Michelle,9
Jennifer,Nicole,9
Jennifer,Rachel,12
Jess,David,9
Jessica,Amanda,11
Jessica,David,11
Jessica,Elizabeth,9
Jessica,Mary,9
Jim,David,10
Joe,John,10
John,Paul,9
John,Steve,12
Julie,David,9
Julie,Heather,10
KC,David,9
Kat,Heather,9
Kate,David,11
Kate,Mary,10
Kimberly,David,13
Kimberly,GLORIA G.,9
Laura,Jessica,9
Laura,Mark,9
Linda,David,15
Linda,Kim,11
Lisa,CC,9
Lisa,Dan,9
Lisa,Heather,9
Lisa,Paul,9
Liz,David,9
Lynn,Mary,10
M,David,9
Mary,David,11
Mary,Debbie,11
Mary,Michael,9
Mary,Robin,9
Matt,David,10
Matt,John,14
Melissa,Heather,9
Michael,Steve,11
Mike,Anthony,10
Mike,Barbara,10
Mike,Chris,15
Mike,Dan,9
Mike,David,15
Mike,Elizabeth,10
Mike,James,13
Mike,Jennifer,11
Mike,Jessica,9
Mike,Jim,15
Mike,John,14
Mike,Katie,11
Mike,Michael,10
Mike,Rachel,12
Nick,Jessica,9
Ryan,Mary,9
Samantha,Rachel,9
Sarah,Amanda,12
Sarah,Barbara,10
Sarah,Danielle,9
Sarah,David,10
Sarah,Emily,10
Sarah,Heather,9
Sarah,Jennifer,10
Sarah,Jessica,10
Sarah,John,10
Sarah,KJ,9
Sarah,Kim,11
Sarah,Lisa,11
Sarah,Rachel,11
Sarah,Sandy,9
Sarah,Stephanie,9
Stephanie,John,9
Steve,Barbara,10
Susan,David,11
Susan,Jay,10
Susan,Jessica,10
Susan,Julie,9
Susan,KC,9
Susan,Mary,12
Susan,Mike,9
Thomas,Dave,9
Trouble,Antigone Walsh,9
the old lady who lived in a shoe,Earth Spirits,9
